task,model,features,C,gamma,max_depth,min_samples_leaf,max_features,n_estimators,cv_folds,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,20,2.0,0.3,300.0,5,0.9592082616179001,0.009655614222105082,0.959155511327338,0.009970576162149972
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,None,2.0,0.3,300.0,5,0.9592082616179001,0.009655614222105082,0.959155511327338,0.009970576162149972
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,15,2.0,log2,300.0,5,0.9591795754446357,0.019577257195074735,0.9591241357541668,0.02047479941043905
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,8,4.0,0.3,300.0,5,0.9568273092369477,0.016264832571328675,0.9567919062361787,0.016230210132212288
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,8,1.0,0.3,300.0,5,0.9567986230636834,0.012333853628718546,0.9568192540173964,0.01229035686183051
task2,extra_trees,hog+additional+deep_efficientnet_v2_l,,,8,2.0,log2,300.0,5,0.9567699368904188,0.0180526079211047,0.9570259717922257,0.0185940648615175
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,1.0,0.0003,None,,,,5,0.9567699368904188,0.024823669165769023,0.9566358789129688,0.02597574668783202
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,10,1.0,0.3,300.0,5,0.954417670682731,0.013994149111565459,0.9545327043097942,0.013855188797621388
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,15,1.0,0.3,300.0,5,0.954417670682731,0.013994149111565459,0.9545327043097942,0.013855188797621388
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,20,1.0,0.3,300.0,5,0.954417670682731,0.013994149111565459,0.9545327043097942,0.013855188797621388
task2,random_forest,hog+additional+deep_efficientnet_v2_l,,,None,1.0,0.3,300.0,5,0.954417670682731,0.013994149111565459,0.9545327043097942,0.013855188797621388
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,1.0,scale,None,,,,5,0.951950659781985,0.029547872467566575,0.9523376200682703,0.030436110622832132
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,3.0,scale,None,,,,5,0.951950659781985,0.03324651990567302,0.9525089306977852,0.03348410794063769
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,10.0,scale,None,,,,5,0.951950659781985,0.03324651990567302,0.9525089306977852,0.03348410794063769
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,30.0,scale,None,,,,5,0.951950659781985,0.03324651990567302,0.9525089306977852,0.03348410794063769
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,100.0,scale,None,,,,5,0.951950659781985,0.03324651990567302,0.9525089306977852,0.03348410794063769
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,1.0,0.001,None,,,,5,0.9471600688468158,0.0378528812087416,0.947970121553713,0.03710784539309554
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,3.0,0.001,None,,,,5,0.9471600688468158,0.0378528812087416,0.947970121553713,0.03710784539309554
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,10.0,0.001,None,,,,5,0.9471600688468158,0.0378528812087416,0.947970121553713,0.03710784539309554
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,30.0,0.001,None,,,,5,0.9471600688468158,0.0378528812087416,0.947970121553713,0.03710784539309554
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,100.0,0.001,None,,,,5,0.9471600688468158,0.0378528812087416,0.947970121553713,0.03710784539309554
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,3.0,0.003,None,,,,5,0.7813826735513483,0.08103620039656756,0.8074789584433908,0.06506404989297494
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,10.0,0.003,None,,,,5,0.7813826735513483,0.08103620039656756,0.8074789584433908,0.06506404989297494
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,30.0,0.003,None,,,,5,0.7813826735513483,0.08103620039656756,0.8074789584433908,0.06506404989297494
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,100.0,0.003,None,,,,5,0.7813826735513483,0.08103620039656756,0.8074789584433908,0.06506404989297494
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,1.0,0.003,None,,,,5,0.7765633964429146,0.0829165588599138,0.8045554930199253,0.06640705745667222
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,3.0,0.01,None,,,,5,0.2902753872633391,0.03263957116366016,0.28706571358626154,0.04754086357848992
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,10.0,0.01,None,,,,5,0.2902753872633391,0.03263957116366016,0.28706571358626154,0.04754086357848992
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,30.0,0.01,None,,,,5,0.2902753872633391,0.03263957116366016,0.28706571358626154,0.04754086357848992
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,100.0,0.01,None,,,,5,0.2902753872633391,0.03263957116366016,0.28706571358626154,0.04754086357848992
task2,svm_rbf,hog+additional+deep_efficientnet_v2_l,1.0,0.01,None,,,,5,0.27590361445783135,0.032341112846870114,0.2710539843142583,0.044859773288579666
